SPADOC_CD,COUNTRY
AB,ARAB SATELLITE COMMUNICATIONS ORGANIZATION
AC,ASIASAT CORP
AGO,Republic of Angola
ALG,ALGERIA
ARGN,ARGENTINA
ASRA,AUSTRIA
AUS,AUSTRALIA
AZER,AZERBAIJAN
BEL,BELGIUM
BELA,BELARUS
BERM,BERMUDA
BGD,PEOPLES REPUBLIC OF BANGLADESH
BGR,Bulgaria
BOL,BOLIVIA
BRAZ,BRAZIL
CA,CANADA
CHBZ,PEOPLES REPUBLIC OF CHINA/BRAZIL
CHLE,CHILE
CIS,COMMONWEALTH OF INDEPENDENT STATES
COL,COLOMBIA
CRI,Republic of Costa Rica
CZCH,CZECHOSLOVAKIA
DEN,DENMARK
ECU,ECUADOR
EGYP,EGYPT
ESA,EUROPEAN SPACE AGENCY
ESRO,EUROPEAN SPACE RESEARCH ORGANIZATION
EST,ESTONIA
EUME,EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES
EUTE,EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)
FGER,FRANCE/GERMANY
FIN,FINLAND
FR,FRANCE
FRIT,FRANCE/ITALY
GER,GERMANY
GHA,REPUBLIC OF GHANA
GLOB,GLOBALSTAR
GREC,GREECE
HUN,HUNGARY
IM,INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)
IND,INDIA
INDO,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
ISRA,ISRAEL
ISS,INTERNATIONAL SPACE STATION
IT,ITALY
ITSO,INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)
JOR,Hashemite Kingdom of Jordan
JPN,JAPAN
KAZ,KAZAKHSTAN
KEN,Republic of Kenya
LAOS,LAOS
LKA,Democratic Socialist Republic of Sri Lanka
LTU,LITHUANIA
LUXE,LUXEMBOURG
MA,Morocco
MALA,MALAYSIA
MEX,MEXICO
MNG,MONGOLIA
NATO,NORTH ATLANTIC TREATY ORGANIZATION
NETH,NETHERLANDS
NICO,NEW ICO
NIG,NIGERIA
NKOR,NORTH KOREA
NOR,NORWAY
NPL,Federal Democratic Republic of Nepal
NZ,New Zealand
O3B,O3B NETWORKS
ORB,ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)
PAKI,PAKISTAN
PER,PERU
POL,POLAND
POR,PORTUGAL
PRC,China
RASC,REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG
ROC,REPUBLIC OF CHINA (TAIWAN)
ROM,ROMANIA
RP,REPUBLIC OF PHILIPPINES
SAFR,SOUTH AFRICA
SAUD,SAUDI ARABIA
SEAL,SEA LAUNCH DEMO
SES,SOCIÉTÉ EUROPÉENNE DES SATELLITES
SING,SINGAPORE
SKOR,SOUTH KOREA
SPN,SPAIN
STCT,SINGAPORE/TAIWAN
SWED,SWEDEN
SWTZ,SWITZERLAND
TBD,TO BE DETERMINED/UNKNOWN
THAI,THAILAND
TMMC,TURKMENISTAN/MONACO
TURK,TURKEY
UAE,UNITED ARAB EMIRATES
UK,UNITED KINGDOM
UKR,UKRAINE
URY,URUGUAY
US,UNITED STATES OF AMERICA
USBZ,UNITED STATES/BRAZIL
VENZ,VENEZUELA
VTNM,VIETNAM